Mesh #,Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),Solver Label,Adjusted Time (s)
48,20,tfqmr,gamg,ilu,True,25.0,0.004809856414794922,0.002447366714477539,0.007257223129272461,0.13739228248596191,tfqmr + gamg + ilu,0.007257223129272461
49,0,gmres,ilu,ilu,True,26.0,0.0020253658294677734,0.0013687610626220703,0.0033941268920898438,0.1766655445098877,gmres + ilu + ilu,0.0033941268920898438
49,1,gmres,lu,ilu,True,6.0,0.003050565719604492,0.0003535747528076172,0.0034041404724121094,0.16618847846984863,gmres + lu + ilu,0.0034041404724121094
49,2,gmres,sor,ilu,True,49.0,0.0018782615661621094,0.0019757747650146484,0.003854036331176758,0.126708984375,gmres + sor + ilu,0.003854036331176758
49,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
49,4,gmres,bjacobi,ilu,True,26.0,0.0019788742065429688,0.0012128353118896484,0.003191709518432617,0.13579320907592773,gmres + bjacobi + ilu,0.003191709518432617
49,5,gmres,asm,ilu,True,26.0,0.002838611602783203,0.0018155574798583984,0.0046541690826416016,0.16511249542236328,gmres + asm + ilu,0.0046541690826416016
49,6,gmres,gamg,ilu,True,20.0,0.003926277160644531,0.0019674301147460938,0.005893707275390625,0.12021160125732422,gmres + gamg + ilu,0.005893707275390625
49,7,bcgs,ilu,ilu,True,18.0,0.0020809173583984375,0.0007638931274414062,0.0028448104858398438,0.13852524757385254,bcgs + ilu + ilu,0.0028448104858398438
49,8,bcgs,lu,ilu,True,4.0,0.002989053726196289,0.0003459453582763672,0.0033349990844726562,0.12531781196594238,bcgs + lu + ilu,0.0033349990844726562
49,9,bcgs,sor,ilu,True,31.0,0.0022008419036865234,0.001226663589477539,0.0034275054931640625,0.11930060386657715,bcgs + sor + ilu,0.0034275054931640625
49,10,bcgs,jacobi,ilu,True,62.0,0.001844644546508789,0.0015866756439208984,0.0034313201904296875,0.11217236518859863,bcgs + jacobi + ilu,0.0034313201904296875
